X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.300897011717,45.0011923426971,0016XX HILLSIDE AVE N,MP2018275621        ,4     ,2018/08/16 00:00:00+00,421,2018/08/16 00:00:00+00,2018/08/16 04:21:00+00,320,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,05,2018/08/16 00:00:00+00,22662,-93.30089,45.00119,-10386208.3459,5621709.1981,Jordan,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3220
-93.2788292176363,44.9773362659962,0004XX 10TH ST N,MP2018275633        ,1     ,2018/08/16 00:00:00+00,448,2018/08/16 00:00:00+00,2018/08/16 04:48:00+00,336,ROBPAG  ,ROBBERY PER AGG               ,04 ,2018/08/16 00:00:00+00,,-93.27882,44.97733,-10383751.7703,5617954.2505,Downtown West,2018/08/16 00:00:00+00,2022/03/26 07:00:58+00,3221
-93.2964042135877,45.0026098975209,0012XX 23RD AVE N,MP2018275645        ,4     ,2018/08/16 00:00:00+00,447,2018/08/16 00:00:00+00,2018/08/16 04:47:00+00,412,TFPER   ,THEFT FROM PERSON SNATCH/GRAB ,07 ,2018/08/17 00:00:00+00,,-93.2964,45.0026,-10385708.2099,5621932.3705,Hawthorne,2018/08/17 00:00:00+00,2022/03/26 07:00:58+00,3222
-93.2684488853893,44.9841779400515,0001XX 1ST AVE N,MP2018275659        ,1     ,2018/08/16 00:00:00+00,736,2018/08/15 00:00:00+00,2018/08/16 07:36:00+00,1720,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2018/08/16 00:00:00+00,19090,-93.26844,44.98417,-10382596.237,5619030.9705,North Loop,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3223
-93.2703382589258,44.9133809248531,0049XX 4TH AVE S,MP2018275665        ,3     ,2018/08/16 00:00:00+00,625,2018/08/15 00:00:00+00,2018/08/16 06:25:00+00,1400,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/16 00:00:00+00,13285,-93.27033,44.91338,-10382806.5611,5607895.3777,Field,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3224
-93.2788292176363,44.9773362659962,0004XX 10TH ST N,MP2018275676        ,1     ,2018/08/16 00:00:00+00,726,2018/08/16 00:00:00+00,2018/08/16 07:26:00+00,720,ROBPER  ,ROBBERY OF PERSON             ,04 ,2018/08/16 00:00:00+00,,-93.27882,44.97733,-10383751.7703,5617954.2505,Downtown West,2018/10/12 00:00:00+00,2022/03/26 07:00:58+00,3225
-93.2812651594293,44.9715712995104,0004XX GREENWAY GABLES,MP2018275729        ,1     ,2018/08/16 00:00:00+00,1010,2018/08/16 00:00:00+00,2018/08/16 10:10:00+00,400,THEFT   ,OTHER THEFT                   ,07 ,2018/08/16 00:00:00+00,16715,-93.28126,44.97157,-10384022.9381,5617047.0789,Loring Park,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3226
-93.2941037080951,44.9872333747544,0009XX EMERSON AVE N,MP2018275745        ,4     ,2018/08/16 00:00:00+00,940,2018/08/16 00:00:00+00,2018/08/16 09:40:00+00,1,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/16 00:00:00+00,16512,-93.2941,44.98723,-10385452.1188,5619511.8662,Sumner - Glenwood,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3227
-93.2919694241677,44.9438200144828,0032XX COLFAX AVE S,MP2018275759        ,5     ,2018/08/16 00:00:00+00,957,2018/08/15 00:00:00+00,2018/08/16 09:57:00+00,1300,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/16 00:00:00+00,20661,-93.29196,44.94382,-10385214.5314,5612681.4291,South Uptown,2018/08/16 00:00:00+00,2022/04/16 07:00:15+00,3228
-93.2925855390952,44.9906187139917,0011XX 7TH ST N,MP2018275769        ,4     ,2018/08/16 00:00:00+00,1216,2018/08/15 00:00:00+00,2018/08/16 12:16:00+00,2300,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/08/16 00:00:00+00,24143,-93.29258,44.99061,-10385283.117,5620044.7156,Near - North,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3229
-93.2437843762325,45.0158852623085,0026XX TAYLOR ST NE,MP2018275828        ,2     ,2018/08/16 00:00:00+00,1123,2018/08/15 00:00:00+00,2018/08/16 11:23:00+00,2100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/08/16 00:00:00+00,11136,-93.24378,45.01588,-10379850.5964,5624022.6424,Audubon Park,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3230
-93.3038062650535,45.0114104339932,0019XX 30TH AVE N,MP2018275842        ,4     ,2018/08/16 00:00:00+00,1227,2018/08/16 00:00:00+00,2018/08/16 12:27:00+00,949,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/17 00:00:00+00,,-93.3038,45.01141,-10386532.2025,5623318.0044,Folwell,2018/08/17 00:00:00+00,2022/03/26 07:00:58+00,3231
-93.2263441670996,44.9519768672108,0031XX 28TH ST E,MP2018275846        ,3     ,2018/08/16 00:00:00+00,1110,2018/08/12 00:00:00+00,2018/08/16 11:10:00+00,700,BIKETF  ,BIKE THEFT                    ,07,2018/08/16 00:00:00+00,11245,-93.22634,44.95197,-10377909.1612,5613964.3925,Longfellow,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3232
-93.2964042135877,45.0026098975209,0012XX 23RD AVE N,MP2018275851        ,4     ,2018/08/16 00:00:00+00,1319,2018/08/16 00:00:00+00,2018/08/16 13:19:00+00,1240,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/16 00:00:00+00,,-93.2964,45.0026,-10385708.2099,5621932.3705,Hawthorne,2018/08/16 00:00:00+00,2022/03/26 07:00:58+00,3233
-93.2844002159905,44.9277365812901,0041XX GRAND AVE S,MP2018275860        ,5     ,2018/08/16 00:00:00+00,1207,2018/08/13 00:00:00+00,2018/08/16 12:07:00+00,1900,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/08/16 00:00:00+00,12797,-93.2844,44.92773,-10384371.931,5610152.255,King Field,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3234
-93.2970497986464,44.9438169536099,0032XX GIRARD AVE S,MP2018275873        ,5     ,2018/08/16 00:00:00+00,1346,2018/08/15 00:00:00+00,2018/08/16 13:46:00+00,1820,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/16 00:00:00+00,14089,-93.29704,44.94381,-10385780.0761,5612680.9477,South Uptown,2018/08/16 00:00:00+00,2022/04/16 07:00:15+00,3235
-93.2455610920492,45.015874803385,0026XX POLK ST NE,MP2018275912        ,2     ,2018/08/16 00:00:00+00,1335,2018/08/14 00:00:00+00,2018/08/16 13:35:00+00,2100,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/16 00:00:00+00,11141,-93.24556,45.01587,-10380048.3795,5624020.9954,Audubon Park,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3236
-93.244800829858,44.9296233222095,0040XX 19TH AVE S,MP2018275928        ,3     ,2018/08/16 00:00:00+00,1326,2018/08/16 00:00:00+00,2018/08/16 13:26:00+00,1203,DASLT2  ,2ND DEG DOMES ASLT            ,05 ,2018/08/16 00:00:00+00,13134,-93.2448,44.92962,-10379963.7475,5610448.9147,Standish,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3237
-93.2473173110061,44.9242267096988,0043XX CEDAR AVE S,MP2018275968        ,3     ,2018/08/16 00:00:00+00,1229,2018/08/16 00:00:00+00,2018/08/16 12:29:00+00,800,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/16 00:00:00+00,12339,-93.24731,44.92422,-10380243.8809,5609600.41,Ericsson,2018/11/28 00:00:00+00,2022/03/17 09:10:30+00,3238
-93.2778775936283,44.9546380203445,0026XX NICOLLET AVE,MP2018276012        ,5     ,2018/08/16 00:00:00+00,1424,2018/08/15 00:00:00+00,2018/08/16 14:24:00+00,1100,THEFT   ,OTHER THEFT                   ,07 ,2018/08/16 00:00:00+00,16208,-93.27787,44.95463,-10383645.836,5614382.9956,Whittier,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3239
-93.2691207057459,44.9795090422048,0009XX 4TH ST S,MP2018276018        ,1     ,2018/08/16 00:00:00+00,1324,2018/08/16 00:00:00+00,2018/08/16 13:24:00+00,1130,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/08/16 00:00:00+00,,-93.26912,44.9795,-10382671.0237,5618296.1809,Downtown West,2018/10/24 00:00:00+00,2022/03/26 07:00:58+00,3240
-93.2743168703697,44.9744994190305,0009XX NICOLLET MALL,MP2018276028        ,1     ,2018/08/16 00:00:00+00,1429,2018/08/16 00:00:00+00,2018/08/16 14:29:00+00,1330,THEFT   ,OTHER THEFT                   ,07 ,2018/08/17 00:00:00+00,19563,-93.27431,44.97449,-10383249.4581,5617507.8346,Downtown West,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3241
-93.3135112259036,44.9244497725556,0025XX 43RD ST W,MP2018276042        ,5     ,2018/08/16 00:00:00+00,1519,2018/08/15 00:00:00+00,2018/08/16 15:19:00+00,2100,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2018/08/16 00:00:00+00,12543,-93.31351,44.92444,-10387612.5538,5609635.4804,Linden Hills,2018/08/16 00:00:00+00,2022/03/17 09:10:30+00,3242
