OID_,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_SingleLine,USER_combined
3898,M,95.700000000000003,A,S Hamline Ave & Randolph Ave,S Hamline Ave & Randolph Ave,S Hamline Ave & Randolph Ave,StreetInt,,,S Hamline Ave & Randolph Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & Randolph Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156836786843016,44.926957006537471,-93.156836786843016,44.926957006537471,-93.157836786694602,-93.155836786991429,44.925957006752959,44.927957006321975,,HAMLINE AV S & RANDOLPH AV,HAMLINE AV S & RANDOLPH AV
3899,M,86.200000000000003,A,S Hamline Ave & W Palace Ave,S Hamline Ave & W Palace Ave,S Hamline Ave & W Palace Ave,StreetInt,,,S Hamline Ave & W Palace Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & W Palace Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156836786592052,44.928784006270455,-93.156836786592052,44.928784006270455,-93.157836786443639,-93.155836786740451,44.927784006485929,44.929784006054973,,HAMLINE AV S & PALACE AV,HAMLINE AV S & PALACE AV
3900,M,95.700000000000003,A,S Hamline Ave & Stanford Ave,S Hamline Ave & Stanford Ave,S Hamline Ave & Stanford Ave,StreetInt,,,S Hamline Ave & Stanford Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & Stanford Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156841286093680,44.932402005741999,-93.156841286093680,44.932402005741999,-93.157841285945324,-93.155841286242079,44.931402005957466,44.933402005526517,,HAMLINE AV S & STANFORD AV,HAMLINE AV S & STANFORD AV
3901,M,83.230000000000004,A,S Hamline Ave & Stanford Ave,S Hamline Ave & Stanford Ave,S Hamline Ave & Stanford Ave,StreetInt,,,S Hamline Ave & Stanford Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & Stanford Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156841286093680,44.932402005741999,-93.156841286093680,44.932402005741999,-93.157841285945324,-93.155841286242079,44.931402005957466,44.933402005526517,CT,HAMLINE AV S & STANFORD CT,HAMLINE AV S & STANFORD CT
3902,M,94.700000000000003,A,S Hamline Ave & St Clair Ave,S Hamline Ave & St Clair Ave,S Hamline Ave & St Clair Ave,StreetInt,,,S Hamline Ave & St Clair Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & St Clair Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156841285845104,44.934211005477650,-93.156841285845104,44.934211005477650,-93.157841285696747,-93.155841285993489,44.933211005693110,44.935211005262190,,HAMLINE AV S & STCLAIR AV,HAMLINE AV S & STCLAIR AV
3903,M,91.040000000000006,A,W Hampden Ave & Bradford St,W Hampden Ave & Bradford St,W Hampden Ave & Bradford St,StreetInt,,,W Hampden Ave & Bradford St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,W Hampden Ave & Bradford St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.195622270082666,44.968213003204326,-93.195622270082666,44.968213003204326,-93.196622269934736,-93.194622270230568,44.967213003419680,44.969213002988987,,HAMPDEN AV & BRADFORD ST,HAMPDEN AV & BRADFORD ST
3904,M,95.700000000000003,A,S Hamline Ave & Summit Ave,S Hamline Ave & Summit Ave,S Hamline Ave & Summit Ave,StreetInt,,,S Hamline Ave & Summit Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & Summit Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156823284879152,44.941276004444092,-93.156823284879152,44.941276004444092,-93.157823284730839,-93.155823285027481,44.940276004659552,44.942276004228646,,HAMLINE AV S & SUMMIT AV,HAMLINE AV S & SUMMIT AV
3905,M,86.200000000000003,A,S Hamline Ave & W Watson Ave,S Hamline Ave & W Watson Ave,S Hamline Ave & W Watson Ave,StreetInt,,,S Hamline Ave & W Watson Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & W Watson Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156836787213848,44.924257006932123,-93.156836787213848,44.924257006932123,-93.157836787065406,-93.155836787362261,44.923257007147619,44.925257006716635,,HAMLINE AV S & WATSON AV,HAMLINE AV S & WATSON AV
3906,M,87.549999999999997,A,S Hamline Ave & W Wellesley Ave,S Hamline Ave & W Wellesley Ave,S Hamline Ave & W Wellesley Ave,StreetInt,,,S Hamline Ave & W Wellesley Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,S Hamline Ave & W Wellesley Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.156836786217411,44.931511005871911,-93.156836786217411,44.931511005871911,-93.157836786069012,-93.155836786365782,44.930511006087364,44.932511005656444,,HAMLINE AV S & WELLESLEY AV,HAMLINE AV S & WELLESLEY AV
3907,M,80.989999999999995,A,Hampden & Charles Ave,Hampden & Charles Ave,Hampden & Charles Ave,StreetInt,,,Hampden & Charles Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hampden & Charles Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.192467771677414,44.963182003719282,-93.192467771677414,44.963182003719282,-93.193467771529441,-93.191467771825387,44.962182003934664,44.964182003503922,AV | ST,HAMPDEN AV & CHARLES ST,HAMPDEN AV & CHARLES ST
